claim_id,study_id,doi,claim,role,direction,status,note,result_position,source_result_id,article_result_from_phase1,ali_test_name,ali_reported_result,ali_reproduced_result,ali_result_status,in_scope,scope_exclusion_reason,project_verified_result,project_result_status,frequentist_test,p_value,p_operator,p_sidedness,t_value,t_df,f_value,f_df1,f_df2,z_value,chi2_value,chi2_df,r_value,n1,n2,n_total,n_eff,effect_size_type,effect_size_value,estimate,se_estimate,raw_data_file,raw_variable_names,model_formula,contrast_direction,extraction_note,source_file,source_row_id,source_study_id
study_14_claim_02,study_14,10.1177/1475725719859453,"Perceived need for reform and number of student researchers supervised/year correlated with teaching these issues, suggesting that those who believe more change is needed in psychology research and are more involved in shaping the next generation of psychology researchers are more likely to discuss replication and reform in their courses. ",supplementary,two_sided,ready,Verified: reported second r=.30 matches result_02 exactly. Same reasoning as claim_01.,second,study_14_result_02,"r(56) = .46, p < .001",Pearson correlation,"r(228)= .30, p < .001","r(228)= .30, p < .001",Fully reproducible,TRUE,,"r(228) = .30, p < .001",recomputed_from_raw_data_pairwise_complete,pearson_correlation,5.3489935621111325e-6,=,two_sided,4.661225131634766,228,,,,,,,0.29496284411487556,,,230,230,correlation_r,0.29496284411487556,,,data/raw/study_14/Perceived_need_for_reform_and_teaching_of_best_research_practices.sav,reform; Adv_topics,Pearson correlation: reform with Adv_topics; pairwise complete observations,positive association between reform and Adv_topics,"Recovered r, equivalent t, df, exact p and pairwise N. Article df = 228; recomputed df = 228; pairwise N = 230.",study_14_recomputed.csv,11,study_14
study_18_claim_01,study_18,10.1177/00986283221130298,"Psychology students reported significantly higher perceived prominence of psychological literacy attributes in their degree, compared with Humanities and non-Psychology STEM students, in all but two of the psychological literacy attributes.",primary,unclear,pending,"Verified: reported key F(16,574)=36.66 matches result_01 exactly. Wave 3 (MANOVA, 16 outcome-related predictors). Needs raw-data multivariate model.",key,study_18_result_01,"F(16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505.",One-way MANOVA comparing 3 subject groups,"F(16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505.","F (16, 574) = 36.66, p < .001, Pillai’s Trace = 1.011, ηp²= .505.",Fully reproducible,TRUE,,"F(16, 574) = 36.66, p < .001, Pillai's Trace = 1.011, eta_p2 = .505",recomputed_from_raw_data,manova,5.348010931422366e-77,<,omnibus,,,36.660357611238425,16,574,,,,,,,296,,eta_p2,0.5054136192134575,,,data/raw/study_18/Psychological_literacy_subject_study_finaldataset.sav,STEM_NONSTEM_PSYCH; Skill_1_Awareness; Skill_1_Development; Skill_1_Confidence; Skill_1_Importance; Skill_2_Awareness; Skill_2_Development; Skill_2_Confidence; Skill_2_Importance; Skill_3_Awareness; Skill_3_Development; Skill_3_Confidence; Skill_3_Importance; Skill_4_Awareness; Skill_4_Development; Skill_4_Confidence; Skill_4_Importance; Skill_5_Awareness; Skill_5_Development; Skill_5_Confidence; Skill_5_Importance; Skill_6_Awareness; Skill_6_Development; Skill_6_Confidence; Skill_6_Importance; Skill_7_Awareness; Skill_7_Development; Skill_7_Confidence; Skill_7_Importance; Skill_8_Awareness; Skill_8_Development; Skill_8_Confidence; Skill_8_Importance,"cbind(Skill_1_avg_recomputed, Skill_2_avg_recomputed, Skill_3_avg_recomputed,      Skill_4_avg_recomputed, Skill_5_avg_recomputed, Skill_6_avg_recomputed,      Skill_7_avg_recomputed, Skill_8_avg_recomputed) ~ subject_group",Subject-group effect across eight psychological literacy attribute averages: Psychology vs non-Psychology STEM vs Humanities/non-STEM,"One-way MANOVA with Pillai trace, matching the article's decision to report Pillai's Trace. Skill averages were recomputed from Awareness, Development, Confidence, and Importance item columns. Complete-case n = 296; Psychology n=117; non-Psychology STEM n=86; Humanities/non-STEM n=93. Pillai trace = 1.010827.",study_18_recomputed.csv,12,study_18
study_20_claim_01,study_20,10.1177/14757257221098860,Results showed that reflection and social interaction might be promising strategies to address epistemic doubt.,primary,positive,pending,Phase 1 hypothesis explicitly predicts reflection+social-interaction components lead to 'stronger epistemic change' than the comparisons -- this legitimately supports the one-sided test the authors themselves used (not a post-hoc choice). Updated from unclear to positive. Wave 3 (SEM/lavaan); still needs Bayesian SEM (e.g. blavaan).,key,study_20_result_01,"((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)",Planned (linear) contrast tested via a one-sided Wald z within a latent difference score SEM,"((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)","((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)",Fully reproducible,TRUE,,"((MDV + MR + MRSI)/3 - MC = .372, SE = .183, p = .021; one-sided test)",recomputed_from_raw_data_supplied_sem_model,sem_contrast,0.0209958858209693,=,one_sided,,,,,,2.0336016867372755,,,,,,153,,none,,0.37156096937466826,0.18271078933397383,data/raw/study_20/PA_sj-csv-2-plj-10.1177_14757257221098860.csv,group_t2; FRG_A_01_t1; FRG_A_02_t1; FRG_A_03_t1; FRG_A_04_t1; FRG_A_05_t1; FRG_M_01_t1; FRG_M_02_t1; FRG_M_03_t1; FRG_M_04_t1; FRG_M_05_t1; FRG_E_01_t1; FRG_E_02_t1; FRG_E_03_t1; FRG_E_04_t1; FRG_E_05_t1; FRG_A_01_t2; FRG_A_02_t2; FRG_A_03_t2; FRG_A_04_t2; FRG_A_05_t2; FRG_M_01_t2; FRG_M_02_t2; FRG_M_03_t2; FRG_M_04_t2; FRG_M_05_t2; FRG_E_01_t2; FRG_E_02_t2; FRG_E_03_t2; FRG_E_04_t2; FRG_E_05_t2; DV; R; Social_Interaction; D_FRG_Index_t1; D_FRG_Index_t2,lavaan latent difference score model; Test_H1a := (m_DV + m_R + m_SI)/3 - b0,average of intervention latent-change means minus control latent-change mean,"Recovered estimate, SE, z and one-sided directional p from supplied lavaan model. Two-sided p = 0.0419918.",study_20_recomputed.csv,13,study_20
study_20_claim_02,study_20,10.1177/14757257221098860,Results showed that reflection and social interaction might be promising strategies to address epistemic doubt.,supplementary,positive,pending,Same pre-specified hypothesis as claim_01 supports positive/one-sided direction. Same SEM model family requirement.,second,study_20_result_02,"((MDV + MR + MRSI)/3 – MC = .372, SE = .183, p = .021; one-sided test)",Planned (linear) contrast tested via a one-sided Wald z within a latent difference score SEM,"(MRSI− MR= .081, SE= .227, p = .360; one-sided test).","(MRSI− MR= .081, SE= .227, p = .360; one-sided test).",Fully reproducible,TRUE,,"(MRSI - MR = .081, SE = .227, p = .360; one-sided test)",recomputed_from_raw_data_supplied_sem_model,sem_contrast,0.35982073197228404,=,one_sided,,,,,,0.35893800993428016,,,,,,153,,none,,0.08136299809648939,0.2266770189966411,data/raw/study_20/PA_sj-csv-2-plj-10.1177_14757257221098860.csv,group_t2; FRG_A_01_t1; FRG_A_02_t1; FRG_A_03_t1; FRG_A_04_t1; FRG_A_05_t1; FRG_M_01_t1; FRG_M_02_t1; FRG_M_03_t1; FRG_M_04_t1; FRG_M_05_t1; FRG_E_01_t1; FRG_E_02_t1; FRG_E_03_t1; FRG_E_04_t1; FRG_E_05_t1; FRG_A_01_t2; FRG_A_02_t2; FRG_A_03_t2; FRG_A_04_t2; FRG_A_05_t2; FRG_M_01_t2; FRG_M_02_t2; FRG_M_03_t2; FRG_M_04_t2; FRG_M_05_t2; FRG_E_01_t2; FRG_E_02_t2; FRG_E_03_t2; FRG_E_04_t2; FRG_E_05_t2; DV; R; Social_Interaction; D_FRG_Index_t1; D_FRG_Index_t2,lavaan latent difference score model; Test_H1c := m_SI - m_R,reflection plus social interaction latent-change mean minus reflection-only latent-change mean,"Recovered estimate, SE, z and one-sided directional p from supplied lavaan model. Two-sided p = 0.719641.",study_20_recomputed.csv,14,study_20
study_21_claim_01,study_21,10.1177/0098628318762900,"Following the lecture, students trusted psychological studies slightly less but saw greater similarities between psychology and natural science fields.",primary,two_sided,ready,"Verified: reported key matches result_01 (Pre M=5.31 SD=0.96, Post M=4.94 SD=1.10) exactly. No explicit directional hypothesis in Phase 1 (research question substituted) -- keep two_sided.",key,study_21_result_01,"Pre-lecture: M = 5.31, SD = 0.96 , Post-lecture: M = 4.94, SD = 1.10, d = −0.36 , p < .001",Paired samples t-test,"Pre-lecture : M = 5.31, SD = 0.96 , Post-lecture: M = 4.94, SD = 1.10, d = −0.36 , p < .001","Pre-lecture : M = 5.31, SD = 0.96 , Post-lecture: M = 4.94, SD = 1.10, d = −0.36 , p < .001",Fully reproducible,TRUE,,"Pre: M = 5.31, SD = 0.96; Post: M = 4.94, SD = 1.10; d = -0.36; p < .001",recomputed_from_raw_data,paired_t_test,3.104418290506897e-5,=,two_sided,-4.266812841710795,193,,,,,,,,,,194,194,cohens_d_marginal_pooled_sd,-0.35892742392629917,-0.3711340206185565,0.0869815561138484,data/raw/study_21/Spring2016.sav,trust1; trust2,paired t-test: trust2 - trust1,post-lecture trust minus pre-lecture trust,"Recovered paired n, t, df, exact p, post-pre mean difference and SE. Stored effect size uses marginal pooled-SD d to match article; paired dz = -0.306339; mean pre = 5.309278; mean post = 4.938144.",study_21_recomputed.csv,15,study_21
study_21_claim_02,study_21,10.1177/0098628318762900,"Following the lecture, students trusted psychological studies slightly less but saw greater similarities between psychology and natural science fields.",supplementary,unclear,held,"Out of scope per metadata/data_scope_note.md (result must have a p-value AND be fully reproduced): Ali's Phase 2 explicitly marks this second result 'Not reproducible', so no verified result and no p-value exist. Held, not re-attempted, same treatment as study_35.",second,,"Pre-lecture: M = 5.31, SD = 0.96 , Post-lecture: M = 4.94, SD = 1.10, d = −0.36 , p < .001",Paired samples t-test,"Pre lecture: M = 4.51, SD = 1.56, Post lecture: M = 4.64, SD = 1.49, d = .09","Pre-lecture: M = 4.09, SD = 1.66, Post-lecture: M = 4.28, SD = 1.57, d = .12",Not reproducible,FALSE,"Out of scope: Almuhanna Phase 2 status is 'Not reproducible', not 'Fully reproducible'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_22_claim_01,study_22,10.1177/14757257231163482,"The combined training approach led to significant increases in declarative knowledge, advanced epistemic beliefs, and greater self-efficacy in implementing strategies relating to multiple document literacy and argumentative thinking.",primary,two_sided,ready,"Verified: reported key F(1,23)=50.76 matches result_01 exactly. Phase 1 hypothesis is non-specific ('could prove effective') -- not a crisp directional prediction, keep two_sided. Recomputed as a 2-level repeated-measures ANOVA; F(1,23)=50.76=t(23)^2=7.1245^2, so use t_value/t_df directly with the Wave-1 paired-t Bayes factor, not an ANOVA model.",key,study_22_result_01,"F(1, 23) = 50.76, p < .001, ηp² = .688",One-way repeated-measures ANOVA,"F(1, 23) = 50.76, p < .001, ηp² = .688","F (1, 23) = 50.76, p < .001, ηp² = .688",Fully reproducible,TRUE,,"F(1, 23) = 50.76, p < .001, eta_p2 = .688",recomputed_from_original_author_aggregate_variables,repeated_measures_anova,2.950955104342273e-7,<,omnibus,7.12450845249377,23,50.758620689655174,1,23,,,,,,,24,24,eta_p2,0.6881720430107527,4,0.5614422421802155,data/raw/study_22/Data_CombinedApproach_220523.sav,Vor_EU_All; PT_EU_All,SPSS GLM Vor_EU_All PT_EU_All /WSFACTOR = Zeitpunkt 2 Polynomial /WSDESIGN = Zeitpunkt,post-training epistemic-beliefs declarative knowledge minus pre-training epistemic-beliefs declarative knowledge,"The original SPSS syntax runs GLM on the saved author aggregate variables Vor_EU_All and PT_EU_All. Listwise deletion on these variables gives n = 24, pre M = 7.125 (SD = 3.468022), post M = 11.125 (SD = 2.559084), F(1, 23) = 50.758621, p = 2.95096e-07, eta_p2 = 0.688172.",study_22_recomputed.csv,16,study_22
study_22_claim_02,study_22,10.1177/14757257231163482,"The combined training approach led to significant increases in declarative knowledge, advanced epistemic beliefs, and greater self-efficacy in implementing strategies relating to multiple document literacy and argumentative thinking.",supplementary,unclear,held,"Out of scope per metadata/data_scope_note.md (result must have a p-value AND be fully reproduced): Ali's Phase 2 explicitly marks this second result 'Not reproducible', so no verified result and no p-value exist. Held, not re-attempted, same treatment as study_35.",second,,"F(1, 23) = 50.76, p < .001, ηp² = .688",One-way repeated-measures ANOVA,"F(1, 39) = 4.95, p = .032, ηp² = .113","F(1, 38) = 4.151, p = .049, ηp² = .098",Not reproducible,FALSE,"Out of scope: Almuhanna Phase 2 status is 'Not reproducible', not 'Fully reproducible'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_26_claim_01,study_26,10.1177/00986283221108129,Follow-up recognition significantly improved for all pioneer groups.,primary,two_sided,pending,"Verified: reported key z=-6.155 matches result_01 (z=-6.154861) exactly. Wave 3: Wilcoxon signed-rank. Needs a rank-likelihood or robust location model, not a t-test conversion.",key,study_26_result_01,"women: z = -6.155, p < .001, r = -.87",Wilcoxon Signed-Rank t-tests,"women: z = -6.155, p < .001, r = -.87","z = -6.155, p < .001, r = -.87",Fully reproducible,TRUE,,"women: z = -6.155, p < .001, r = -.87",recomputed_from_author_composite_variables,wilcoxon_signed_rank,7.514318919004386e-10,<,two_sided,,,,,,-6.154861385256024,,,,,,50,50,wilcoxon_r,-0.8704288445555524,1.25739130432,,data/raw/study_26/Final_Data_Set_Spring_2022.sav,womenrec1; womenrec2,SPSS NPAR TESTS /WILCOXON=womenrec1 WITH womenrec2 (PAIRED),follow-up recognition for women pioneers versus initial recognition for women pioneers,"The uploaded SPSS syntax identifies this as the main/chosen result. It uses the author composite variables womenrec1 and womenrec2. The script reconstructs the SPSS legacy Wilcoxon signed-rank normal approximation with tie correction and no continuity correction: n = 50, W+ = 0, W- = 1275, initial M = 0.237391 (SD = 0.24219, Mdn = 0.173913), follow-up M = 1.494783 (SD = 0.528417, Mdn = 1.543478), z = -6.154861, p = 7.51432e-10, r = -0.870429.",study_26_recomputed.csv,17,study_26
study_26_claim_02,study_26,10.1177/00986283221108129,Follow-up recognition significantly improved for all pioneer groups.,supplementary,two_sided,pending,Verified: reported second z=-6.126 matches result_02 (z=-6.126040) exactly. Same model requirement as claim_01.,second,study_26_result_02,"women: z = -6.155, p < .001, r = -.87",Wilcoxon Signed-Rank t-tests,"z = -6.126, p < .001, r = -.87","z = -6.126, p < .001, r = -.87",Fully reproducible,TRUE,,"initial women versus men: z = -6.126, p < .001, r = -.87",recomputed_from_author_composite_variables,wilcoxon_signed_rank,9.009311485633347e-10,<,two_sided,,,,,,-6.126040089883296,,,,,,50,50,wilcoxon_r,-0.8663528978754251,-0.85043478264,,data/raw/study_26/Final_Data_Set_Spring_2022.sav,womenrec1; menrec1,SPSS NPAR TESTS /WILCOXON=womenrec1 WITH menrec1 (PAIRED),initial recognition for women pioneers versus initial recognition for men pioneers,"The uploaded SPSS syntax identifies this as an extra result. It uses the author composite variables womenrec1 and menrec1. The script reconstructs the SPSS legacy Wilcoxon signed-rank normal approximation with tie correction and no continuity correction: n = 50, W+ = 3, W- = 1272, women M = 0.237391 (SD = 0.24219, Mdn = 0.173913), men M = 1.087826 (SD = 0.489974, Mdn = 0.978261), z = -6.12604, p = 9.00931e-10, r = -0.866353.",study_26_recomputed.csv,18,study_26
study_27_claim_01,study_27,10.1177/00986283211065746,Made me feel closer to my classmate One-sample t-test Effect size: d = 5.65 p < .001,primary,two_sided,held,"Ali's Phase 2: reported 'd = 5.65 p < .001', reproduced 'd(av) = 5.64, p < .001.' -> 'Not reproducible'. HELD per the project scope rule, but the exclusion is effect-size-only: t(38) = 25.32, p, and all Ms/SDs reproduce EXACTLY; d_av = 5.6446 vs reported 5.65, an absolute difference of 0.0054 that rounds to 5.64. VERIFIED across all 7 rows of Supplementary Table 1 (values recovered from the article + Ali's SPSS .spv): all 7 t values reproduce exactly; d_av reproduces 3 of 7 published d exactly while dz reproduces only the trivial 0.00; no single formula reproduces the whole table, which is itself off by 0.0316 on the 'Belonging' row and carries two wrong descriptives. Ali used d_av (the authors' method), not SPSS's dz. Wave-1 Bayes factors use t/df/n and never d, so this claim is statistically usable if the scope rule is refined to 'reproducible on the test statistic and p-value'.",key,study_27_result_01,d = 5.65 p < .001,Paired samples t-test,d = 5.65 p < .001,"d(av) = 5.64, p < .001.",Not reproducible,FALSE,"Out of scope: Almuhanna Phase 2 status is 'Not reproducible', not 'Fully reproducible'.","t(38) = 25.32, p < .001, d = 5.65",recomputed_from_raw_data_effect_size_average_sd_off_by_rounding,paired_t_test,2.1299842914956694e-25,<,two_sided,25.322914524201217,38,,,,,,,,,,39,,cohen_d_average_sd,5.644600510931976,3.4615384615384617,0.13669589486748276,data/raw/study_27/ClassExerciseData.sav,Q3_4pre; Q3_4,paired t-test: post - pre; average-SD Cohen's d,post minus pre,"Paired-samples t test, POST - PRE, pairwise-complete. Effect size is the manuscript's average-SD d = mean_diff/((sd_pre+sd_post)/2) = 5.6446 vs reported 5.65 (absolute difference 0.0054). SPSS's difference-score d (dz) = 4.055 is NOT what the article reports. t = 25.322915 reproduces the reported t = 25.32 exactly. ALI (Phase 2): reproduced 'd(av) = 5.64, p < .001.' -> 'Not reproducible'. Ali used the same average-SD method, so his verdict on this result turns only on rounding at the second decimal of d, not on the test statistic. Validated across all 7 rows of Supplementary Table 1: all 7 t values reproduce exactly, d_av reproduces 3 of 7 published d values exactly (dz reproduces 1, the trivial 0.00), and no single formula reproduces the whole table. Raw .sav holds 77 rows; 39 have complete pre/post on this item.",study_27_recomputed.csv,46,study_27
study_27_claim_02,study_27,10.1177/00986283211065746,Made me feel closer to my classmate One-sample t-test Effect size: d = 5.65 p < .001,supplementary,two_sided,ready,"Ali's Phase 2: reported 'd = 1.80, p < .001', reproduced 'd = 1.80, p < .001' -> 'Fully reproducible'. Our reproduction matches exactly: t(38) = 9.03 and d_av = 1.7960 -> 1.80 (absolute difference 0.0040). NOTE the error here is essentially the same size as the key result's 0.0054 -- the split verdict tracks a rounding boundary, not a difference in reproducibility. Ali's match is a correct application of the authors' d_av method, not a coincidence: dz would have given 1.45 and failed this result too. Wave 1: paired t-test, two-sided published test, two-sided JZS Bayes factor.",second,study_27_result_02,d = 5.65 p < .001,Paired samples t-test,"d = 1.80, p < .001","d = 1.80, p < .001",Fully reproducible,TRUE,,"t(38) = 9.03, p < .001, d = 1.80",recomputed_from_raw_data,paired_t_test,5.4185907142138495e-11,<,two_sided,9.02724207476679,38,,,,,,,,,,39,,cohen_d_average_sd,1.796034744465167,1.6410256410256412,0.18178593499920467,data/raw/study_27/ClassExerciseData.sav,Q3_9pre; Q3_9,paired t-test: post - pre; average-SD Cohen's d,post minus pre,"Paired-samples t test, POST - PRE, pairwise-complete. Effect size is the manuscript's average-SD d = mean_diff/((sd_pre+sd_post)/2) = 1.79603 vs reported 1.8 (absolute difference 0.00397). SPSS's difference-score d (dz) = 1.446 is NOT what the article reports. t = 9.0272421 reproduces the reported t = 9.03 exactly. ALI (Phase 2): reproduced 'd = 1.80, p < .001' -> 'Fully reproducible'. Ali used the same average-SD method, so his verdict on this result turns only on rounding at the second decimal of d, not on the test statistic. Validated across all 7 rows of Supplementary Table 1: all 7 t values reproduce exactly, d_av reproduces 3 of 7 published d values exactly (dz reproduces 1, the trivial 0.00), and no single formula reproduces the whole table. Raw .sav holds 77 rows; 39 have complete pre/post on this item.",study_27_recomputed.csv,47,study_27
study_29_claim_01,study_29,10.1177/0098628319888087,"Faculty respondents (N = 645) also liked and respected all the targets but predicted that Associate Teaching Professors, compared to Associate Professors, would be paid less and would be less likely to have tenure, hold the PhD, or be respected outside their university. ",primary,two_sided,held,"Out of scope: Ali's Phase 2 marks the key result 'Not reproducible'. Effect-size-only again: F(1, 432) = 232.57 and p < .001 reproduce EXACTLY; only d differs (reported 1.50 vs reproduced 1.46). Held per the project scope rule (Ali's standard).",key,study_29_result_01,"F(1, 432) = 232.57, p < .001, d = 1.50, 95% CI [1.25, 1.67]",2×2 between-subjects factorial ANOVA.,"F(1, 432) = 232.57, p < .001, d = 1.50, 95% CI [1.25, 1.67]","F(1, 432) = 232.57, p < .001, d = 1.46, CI [1.25, 1.67]",Not reproducible,FALSE,"Out of scope: Almuhanna Phase 2 status is 'Not reproducible', not 'Fully reproducible'.","F(1, 432) = 232.57, p < .001, d = 1.50, 95% CI [1.25, 1.67]",recomputed_from_raw_data_effect_size_d_off_by_0.04,factorial_between_anova,2.5472880635161942e-42,=,omnibus,,,232.56798263484384,1,432,,,,,221,215,436,,cohens_d,1.4616947774873217,2.7574029253919807,0.10792206725611928,data/raw/study_29/Morling and Lee Faculty Sample Open Data.csv,univtenure; Title; Department,univtenure ~ Title * Department; Type-III between-subjects ANOVA (SPSS UNIANOVA SSTYPE(3)); Title main effect,Associate Professor (Title=2) minus Associate Teaching Professor (Title=1),Title main effect on univtenure. eta_p2 = 0.350; Cohen's d = mean_diff / sqrt(MSE) = 1.462 (reported 1.50). F and 95% CI reproduce; d off by ~0.04.,study_29_recomputed.csv,48,study_29
study_29_claim_02,study_29,10.1177/0098628319888087,"Faculty respondents (N = 645) also liked and respected all the targets but predicted that Associate Teaching Professors, compared to Associate Professors, would be paid less and would be less likely to have tenure, hold the PhD, or be respected outside their university. ",supplementary,two_sided,ready,"Fully reproducible per Ali's Phase 2: F(1, 429) = 14.19, p < .001, d = 0.36 [0.17, 0.55] reproduced exactly. Wave 2: 2x2 between-subjects factorial ANOVA. The numerator df is 1, so this is a candidate for a t-equivalent Bayes factor once the design is reviewed; it is NOT auto-eligible for Wave 1 because stat_test is factorial_between_anova and p_sidedness is omnibus.",second,study_29_result_02,"F(1, 432) = 232.57, p < .001, d = 1.50, 95% CI [1.25, 1.67]",2×2 between-subjects factorial ANOVA.,"F(1, 429) = 14.19, p < .001, d= 0.36 [0.17, 0.55]","F(1, 429) = 14.19, p < .001, d= 0.36 [0.17, 0.55]",Fully reproducible,TRUE,,"F(1, 429) = 14.19, p < .001, d = 0.36, 95% CI [0.17, 0.55]",recomputed_from_raw_data,factorial_between_anova,1.8812884935687636e-4,=,omnibus,,,14.192001300695903,1,429,,,,,220,213,433,,cohens_d,-0.36289883619820673,-0.3936833119931715,0.09690906368110476,data/raw/study_29/Morling and Lee Faculty Sample Open Data.csv,univkids; Title; Department,univkids ~ Title * Department; Type-III between-subjects ANOVA (SPSS UNIANOVA SSTYPE(3)); Title main effect,Associate Professor (Title=2) minus Associate Teaching Professor (Title=1),Title main effect on univkids. eta_p2 = 0.032; Cohen's d = mean_diff / sqrt(MSE) = -0.363 (reported 0.36). Reproduces.,study_29_recomputed.csv,49,study_29
study_30_claim_01,study_30,10.1037/stl0000104,"The results were largely inconclusive, showing no significant change in performance between a pretest (M 11.00, SD 3.44) and a posttest (M 10.30, SD 2.62), t(36) 1.21, p = .23",primary,two_sided,ready,"Verified: reported t(36)=-1.21, p=.23 matches result_01 exactly. Phase 1's own claim frames this as 'largely inconclusive, no significant change' -- consistent with two_sided, no change needed.",key,study_30_result_01,"t(36) = -1.21, p = .23 ",Paired samples t-test,"t(36) = -1.21, p = .23 ","t(36) = -1.21, p = .23 ",Fully reproducible,TRUE,,"t(36) = -1.21, p = .23",recomputed_from_raw_data,paired_t_test,0.23339342533095808,=,two_sided,-1.2120366987318494,36,,,,,,,,,,37,37,cohens_dz_paired,-0.19925760584844449,-0.7027027027027027,0.579770153360817,data/raw/study_30/data_scoresOnly.csv,Subject; Pre-test; Post-test,paired t-test: Post-test - Pre-test,posttest minus pretest,"Recovered paired n, t, df, exact p, mean difference, SE and paired dz. N = 37; pre mean = 11; post mean = 10.297297.",study_30_recomputed.csv,19,study_30
study_33_claim_01,study_33,10.1037/stl0000227,"Quantitative and qualitative analyses indicated that students learned about the applicability of social psychology to real-world phenomena and felt high levels of engagement in the research
process",primary,two_sided,ready,"Verified: reported key t=4.27 matches result_01 exactly. Phase 1 hypothesis is general framing about promoting engagement, not a crisp one-sample directional prediction against the scale midpoint -- keep two_sided (conservative).",key,study_33_result_01,"t(11) = 4.27, p = .001, d = 1.23, 95% CI [0.58, 1.81]",One-sample t-test,"t(11) = 4.27, p = .001, d = 1.23, 95% CI [0.58, 1.81]","t(11) = 4.27, p = .001, d = 1.23, 95% CI [0.58, 1.81]",Fully reproducible,TRUE,,"t(11) = 4.27, p = .001, d = 1.23, 95% CI [0.58, 1.81]",recomputed_from_raw_data,one_sample_t_test,0.0013185060147071,=,two_sided,4.270978296055972,11,,,,,,,,,,12,12,cohens_d_one_sample,1.2329252344654822,1.1944444444444446,0.27966530421085317,data/raw/study_33/ProcessedDataSPSS.sav,Engagement_Avg,one-sample t-test: Engagement_Avg against mu = 3,Engagement_Avg mean minus scale midpoint 3,"Recovered n, t, df, exact p, one-sample d, estimate and SE. Mean = 4.194444; SD = 0.968789.",study_33_recomputed.csv,20,study_33
study_33_claim_02,study_33,10.1037/stl0000227,"Quantitative and qualitative analyses indicated that students learned about the applicability of social psychology to real-world phenomena and felt high levels of engagement in the research
process",supplementary,two_sided,ready,Verified: reported second t=16.03 matches result_02 exactly. Same reasoning as claim_01.,second,study_33_result_02,"t(11) = 4.27, p = .001, d = 1.23, 95% CI [0.58, 1.81]",One-sample t-test,"t(11) = 16.03, p = .001, d = 4.63, 95% CI[1.41, 1.86])","t(11) = 16.03, p = .001, d = 4.63, 95% CI [1.41, 1.86])",Fully reproducible,TRUE,,"t(11) = 16.03, p < .001, d = 4.63, 95% CI [1.41, 1.86]",recomputed_from_raw_data,one_sample_t_test,5.650748853873423e-9,=,two_sided,16.030800890199103,11,,,,,,,,,,12,12,cohens_d_one_sample,4.627693604640872,1.6388888888888893,0.10223374989897552,data/raw/study_33/ProcessedDataSPSS.sav,SocialPsychRealWorld_Avg,one-sample t-test: SocialPsychRealWorld_Avg against mu = 3,SocialPsychRealWorld_Avg mean minus scale midpoint 3,"Recovered n, t, df, exact p, one-sample d, estimate and SE. Mean = 4.638889; SD = 0.354148.",study_33_recomputed.csv,21,study_33
